,Chat_msg,sent,sentiment
10985,hii,,0
10986,yoyo,,0
10987,yo where do i do my wallet bro ,,1
10988,hi,,0
10989,hello,,0
10990,hello,,0
10991,hello,,0
10992,helo,,0
10993,hi,,0
10994,welcomee,,0
10995,sup,,0
10996,sup,,0
10997,hi from tombstone,,0
10998,we already have your wallet ,,1
10999,hii,,0
11000,hey guys where can the ones with talisman master role submit their wallets,,1
11001,hi,,0
11002,forgot which wallet i submitted lmao,,-1
11003,botting wont work here ,,-1
11004,sir your country,,0
11005,good sir,,0
11006,hi from project whitelist,,1
11007,whats your favourite sneakpeek of  fabulosa fam ,,0
11008,lfg,,1
11009,hmm hasnt been eating hehe,,-1
11010,gm,,0
11011,gm,,0
11012,gm,,0
11013,hey,,0
11014,helo keep working all,,1
11015,gm,,0
11016,helo sir  your dinner done,,0
11017,helo guys,,0
11018,hey,,0
11019,hi guys,,0
11020,thanks nice to be here and follow the project,,1
11021,nah cuz u already wrote it in the dyno form  ,,0
11022,sir your from,,0
11023,okay i won wl in another server i think i write my wallet there,,1
11024,helo sir,,0
11025,no fam you good,,0
11026,should i submit my wallet anywhere,,1
11027,already did it in the dyno form,,1
11028,i want to go submit it,,0
11029,nope youre all set,,0
11030,hey mate you are right since you already submitted it theres no need to do anything,,0
11031,   ,,0
11032,gm,,0
11033,hi buddy do i have to submit my wallet again or not cause i have already submitted the wallet through dao form,,1
11034,youll find everything in our manuscript   ,,0
11035,hello fam,,0
11036,whats up,,0
11037,utilities of fabulosa,,0
11038,eeeyy,,0
11039,hii,,0
11040,it means whitelist ,,1
11041,hi,,0
11042,token,,0
11043,guys is a bassed wallet or a token ,,1
11044,gn lovelies,,0
11045,what does talisman master mean,,0
11046,we havent sent it out yet,,0
11047,whats up bro,,0
11048,glad you made it,,0
11049,lfg fam,,1
11050,hello,,0
11051,yo,,0
11052,hello,,0
11053,and my guru is staked just in time  ,,0
11054,gm,,0
11055,gm,,0
11056,gm fam,,0
11057,how yall doing,,0
11058,supp,,0
11059,gmgm,,0
11060,yoo,,0
11061,yoo,,0
11062,i believe in ,,0
11063,yooo,,0
11064,hey,,0
11065,yo,,0
11066,hey guys,,0
11067,sup,,0
11068,sup everyone,,0
11069,oh nice to hear that thank you sir,,0
11070,we will send out a excel sheet any day now where you can check it ,,0
11071,the art for fabulosa is so trippy    love it,,1
11072,from baked already filled the form,,0
11073,already have it youre verified ,,0
11074,we already have your wallet fam,,1
11075,from which dao did you win it i know that some winners are still being processed fam,,1
11076,hi,,0
11077,awesome thanks,,1
11078,a hsselti,,0
11079,gotcha,,0
11080,friday at  utc we will publish a summary of all the wallets we have collected through the dyno forms,,1
11081, stii did not got my role,,-1
11082,ok,,0
11083,y,,0
11084,ussu,,0
11085,ah ok,,0
11086,hi,,0
11087,where do i check the wallet list it was supposed to be published on the  but i cant find it,,-1
11088,we didnt release the wallets list yet,,-1
11089,is there somewhere i can submit my wallet just won wl from a collab giveaway,,1
11090,yayyyy thanks famm,,1
11091,yoo,,0
11092,where am i looking  ,,0
11093, i was asked to verify if my wallet is on the list,,1
11094,sir is the submit wallet not opened yet,,-1
11095,so where do i find the list with the wallets,,1
11096,hello fam,,0
11097,has the winners from the raffle forms drawn ,,0
11098,currently its closed but feel free to reach back during the weekend and well have a final answer,,0
11099,how are you mate,,0
11100,hello,,0
11101,hi,,0
11102,how are you,,0
11103,hey friends,,0
11104,gm,,0
11105,im good bro,,0
11106,great n u,,0
11107,good and you,,0
11108,yes,,0
11109,how are you,,0
11110,yoo,,0
11111,yoo,,0
11112,yo,,0
11113,sup,,0
11114,hey,,0
11115,hello,,0
11116,hey guys,,0
11117,timing as well,,0
11118,will be announced on the  of july,,0
11119,what is mint price,,1
11120,hello welcome foxes  ,,0
11121,hello fam,,0
11122,yoo,,0
11123,welcome  ,,0
11124,omg     ,,1
11125,hello from private foxes,,0
11126,  ,,0
11127,hi,,0
11128,yep,,0
11129,does it mean wl,,1
11130,hii,,0
11131,what is talism master role,,0
11132,hi,,0
11133,yoooo,,0
11134,hi are wl for fabulosa still open for dao collabs,,1
11135,thx,,0
11136,gm,,0
11137,lfg then straight up in staking you still in time for the snapshot,,1
11138,whats good,,0
11139,wen mint,,1
11140, hey sir,,0
11141,woop woop ,,1
11142,  ,,0
11143,hey,,0
11144,good day,,0
11145,gm,,0
11146,gm fam,,0
11147,gm,,0
11148,lfg,,1
11149, minutes till my guru gets back from retreat exciting,,1
11150,yoo,,0
11151,hey hey,,0
11152,hi,,0
11153,hey everyone welcome,,0
11154,sir please message franky and ask him what list he sent us,,0
11155,lol,,0
11156,welcome,,0
11157,gmgm,,0
11158,hi,,0
11159,supppp,,0
11160,gm,,0
11161,correct,,0
11162,gm,,0
11163,yeh mate,,0
11164,yo ho,,0
11165,great,,0
11166,im good too mate,,0
11167,y,,0
11168,im good wbu,,0
11169,and i dont need to submit again since i put address at collab form,,0
11170,exactly,,0
11171,if i got talisman master its wl right,,1
11172,sup,,0
11173,hello,,0
11174,hi,,0
11175,you opened a ticket about it what did they tell ya i dont handle wl distribution i cant help you on that neither midnight does,,-1
11176,hey,,0
11177,hii,,0
11178,lmao you already have it in fact fam,,0
11179,hi,,0
11180,hi,,0
11181,yooo,,0
11182,how are you,,0
11183,yo,,0
11184,i win giveaway on tw and mod said  youll get your role in discord in a couple days      waiting  ,,1
11185,gm,,0
11186,heeeyy,,0
11187,yoo,,0
11188,gm guys,,0
11189,yooo,,0
11190,stop tagging them they are doing their job,,-1
11191,why bro,,0
11192,and didnt got the role,,-1
11193,and opened a ticket  times,,0
11194,just be passion,,0
11195,i have won a  giveaway from pakita,,1
11196,bro i have send  u proof too time,,0
11197,i have send u proof too time,,0
11198, didnt got the role,,-1
11199,hi from snapshot zvk,,0
11200,sup guys,,0
11201,i send u proof,,0
11202,wt up fam,,0
11203,bro i didnt got my role,,-1
11204,such a nice surprise,,1
11205,h,,0
11206,yepp congrats fam,,1
11207,so i got picked lol,,0
11208,i think its wl role,,1
11209,hi,,0
11210,wt is role of talisman master,,0
11211,c,,0
11212,hi,,0
11213,welcome  ,,0
11214,hello from zvk,,0
11215,gm,,0
11216,hi,,0
11217, ,,0
11218, ,,0
11219,gm dude,,0
11220,morning,,0
11221,gm bro,,0
11222,haahaahaa twins,,0
11223,hi,,0
11224,hello,,0
11225,already have it from the dyno form,,1
11226,hi,,0
11227,no you dont,,0
11228,hi,,0
11229,raid raid raid shill him know our community  ,,1
11230,gm,,0
11231,hi,,0
11232,do i need to submit wallet ,,1
11233,hi guys,,0
11234,         ,,0
11235,yeah congrats  ,,1
11236,wowi am already wlisted thanks ,,1
11237,hi i won wl from sticky monkes  should raise a ticket with proof or wait for them to send the list ,,1
11238,yess yess,,0
11239,  ,,0
11240,gmgm,,0
11241,gm how wl,,1
11242,you did submit,,0
11243, sir i won giveaway and i haven t submitted my wallet in dyno form,,-1
11244,hello,,0
11245, for og bohemian and  for guru master,,1
11246,hi,,0
11247,ayo,,0
11248,how many woop while staking one nft per day ,,1
11249,  ,,0
11250,woww congrats   ,,1
11251,congratulations,,1
11252,thank you team,,0
11253,congratulations,,1
11254,im trying to get out of bed hahaha,,0
11255,oh damn then im already wl,,1
11256,you ve got that,,0
11257,talisman master,,0
11258,whats the role for fabulosa wl,,1
11259,fire ,,0
11260,hello gm,,0
11261,how this looks,,0
11262,very good thank you how you doing,,0
11263,morning,,0
11264,hey how are you today,,0
11265,morning,,0
11266,good morning people,,0
11267,hello,,0
11268,hey,,0
11269,thanks   ,,0
11270,yhi guess bots don t like my profile name   ,,-1
11271,congrats,,1
11272,lfg,,1
11273,hey,,0
11274,won wl from sticky monkes,,1
11275,yoooo,,0
11276,yaw,,0
11277,its rng sadly sorry fam,,0
11278,second market is always a option  ,,1
11279,unlucky i guess,,-1
11280,hello,,0
11281,yo,,0
11282,sad i didn t got picked at all the dyno form i filled,,-1
11283,amazing ,,1
11284,hi,,0
11285,okay all good,,0
11286,hey,,0
11287,hi,,0
11288,also doing good ty,,0
11289,i m good what about you mate,,0
11290,hi,,0
11291,hey there,,0
11292,hey doing good you,,0
11293,gm,,0
11294,people with talisman ii didnt complete a dyno form,,-1
11295,how you doing guys,,0
11296,yo fam,,0
11297,ok sir thx i saw the announce  ,,0
11298,does this mean they didn t submit wallet in dyno,,-1
11299, ,,0
11300,we have your wallet dont worry we need to collect wallets from people with talisman ii role,,1
11301,  ,,0
11302,oh ok sry,,0
11303,its stated in ,,0
11304,thanks,,0
11305,cool cool just making sure,,0
11306,ohh true,,0
11307,we already have your wallet from the dyno form ,,1
11308,lfg,,1
11309,i think that for master ii,,0
11310,yo,,0
11311,the announcement says otherwise,,0
11312,i dont think is ready yet  wallet submisson latter,,-1
11313,sup,,0
11314,  ,,0
11315,done,,0
11316,hi,,0
11317,b,,0
11318,you can create a ticket ,,0
11319,where to submit wallet,,1
11320,i don t see a place to submit my wallet,,-1
11321,hello who can i contact regarding wl spot raffle want to give some wl spots to your community,,1
11322,just got tailman wl,,1
11323,yo,,0
11324,i m going to cope hard if i don t get a chance to mint fabulosa  ,,-1
11325,hey,,0
11326,gm,,0
11327,open a ticket fam,,1
11328,ohh i see,,0
11329,but i won free nft now,,1
11330,you already have the role to get the airdrop,,1
11331,hello,,0
11332,hmm,,0
11333,sir i won free fabulosa nft on twitter how should i proceed,,1
11334,gm,,0
11335,gm,,0
11336,yo,,0
11337, ,,0
11338,hi,,0
11339,lfg,,1
11340,how are you doing,,0
11341,hi,,0
11342,hello huys,,0
11343,suggest you to give a look at this,,0
11344,woop,,1
11345,woop woop brethens  how yall doing,,1
11346,thank you see you soon ,,0
11347,nice to meet you im working now have a good day,,0
11348,gm,,0
11349,exaclty,,0
11350,sir i didn t submit my wallet in dyno form is it still possible to submit my wallet,,-1
11351,gm,,0
11352,hey,,0
11353,ohhh yeah close to madagaskar,,0
11354,from r union ailend you know it,,0
11355,morocco u ,,0
11356,where are you from fam,,0
11357,im goor to tank you,,-1
11358,im good whu,,0
11359,how you doing fam,,0
11360,hey bro,,0
11361,we will be airdropped wl tokens then sorry just want to be sure,,1
11362,wessap boys,,0
11363,ah ok gotcha,,0
11364,congrats,,1
11365,okay ser,,0
11366,it s a new collection i m pretty sure so there s the bohemia collection and they re about to mint the fabulosa collection in a few days,,1
11367,you already did in the dyno form,,0
11368,great i am doing my research now where is the channel to submit wallet address though,,1
11369,supp guys,,0
11370,theres no need to submit the wallet,,1
11371,hello,,0
11372,also give a read to the manuscript ,,0
11373,hey,,0
11374,heyyyy finally im a talisman master,,1
11375,fabulosa aims to create a gamified raffle system which is very articulated to explain in a single message,,0
11376,hi,,0
11377,welcome everyone,,0
11378,hhi there frens,,0
11379,someone help please  ,,0
11380,hi im the same cannot find the channel to submit our wallets,,-1
11381,hello i won mythical fabulosa from project whitelist,,1
11382,gm guys,,0
11383,hi i just won a giveaway and i forgot to submit my wallet can i still submit my wallet,,-1
11384,hi,,0
11385,gm,,0
11386,this will be added to the bohemia collection on magic eden,,0
11387,can you help me with some extra info this will be a new collection right i have checked announcements but cant quite figure it out,,-1
11388,gm,,0
11389,gm,,0
11390,gm fam,,0
11391,congrats  ,,1
11392,oh thanks,,0
11393,correct fam,,0
11394,talisman master is wl role,,1
11395,you got it sir,,0
11396,please whats wl role here,,1
11397,hey fam staked guru masters dont need to submit wallets ,,1
11398,hi,,0
11399,love it won a raffle,,1
11400,yeah,,0
11401,for me,,0
11402,yep,,0
11403,wen talisman role,,1
11404,talisman master is the role for wl for the new mint right,,1
11405, july,,0
11406, mint,,1
11407,hi tiffany,,0
11408,hi,,0
11409,gmm,,0
11410,hello,,0
11411,helo sir,,0
11412,thanks,,0
11413,well hi welcome to bohemia,,0
11414,yooo,,0
11415,hi from unknown dao,,0
11416,yo,,0
11417,hi,,0
11418,hi,,0
11419,ty bro,,0
11420,does rt from bohemia qualify me for    wl,,1
11421,hey fam if u won you will receive your wl in the next hours dw about it,,1
11422,ty boss,,0
11423,welcome fam,,0
11424,can i open a ticket,,0
11425,hi fam i won wl in draygon,,1
11426,idhar kbb aaye supar,,0
11427,hlo,,0
11428,hi,,0
11429,hey,,0
11430,hey ,,0
11431,hello guys,,0
11432,check your heart im there as well,,0
11433,hi,,0
11434,tu idhar,,0
11435,yeah,,0
11436,  ,,0
11437,lfg i got my wl role,,1
11438,test,,0
11439,hello,,0
11440,hello all,,0
11441,as we have already submitted in the forn am i right,,0
11442,hi from jelly  ,,0
11443,thank you for the response,,0
11444,sup fam,,0
11445,theres no need to,,0
11446,hello,,0
11447,correct,,0
11448,hey folks,,0
11449,hi fam,,0
11450,hello,,0
11451,congratulations brother i hope to join you soon,,1
11452,were not passing our wallets or anything in this moment right,,1
11453,gn,,0
11454,hi,,0
11455,niceee,,0
11456,yeah  ,,0
11457,helloo,,0
11458,oh this is the role hahahaha thank youu,,0
11459, ,,0
11460, ,,0
11461,there a few left go for it,,0
11462,oh yeaa hahaha thanks forgot about that  ,,0
11463,how many wl slot left,,1
11464,basicly owning a guru bohemian before  utc today will guarantee an wl airdrop,,1
11465,you already sent it in the dyno form,,1
11466,no need to,,0
11467,congrats talisman masters,,1
11468,hi how do we submit our wallets,,1
11469,please see  ,,0
11470,woop woop,,1
11471,talisman masterwl,,1
11472,gib wl,,1
11473,you already have it  ,,0
11474,hello,,0
11475,same won wl too hehe,,1
11476,congrats  ,,1
11477,won a wl as well ill gonna wait for the role ,,1
11478,how to get wl ,,1
11479,whats up,,0
11480,from chilly ,,0
11481,eyyy from where,,0
11482,congrats ,,1
11483,welcome guys   be sure to check  and ,,0
11484,i won wl wwwwww gotta wait for da role,,1
11485,hy all,,0
11486,warmth welcome to the fam ,,0
11487,hey hey,,0
11488,hiiii just got ,,0
11489,hi from project whitelist,,1
11490,oke thanks then i just buy a normal one i like it more ,,1
11491,hey,,0
11492,hello,,0
11493,hiii,,0
11494,ok cool thx,,0
11495,you already submitted it in the dyno form fam,,1
11496,i can t find it,,-1
11497,where is the wallet submission thread,,1
11498,hello fam,,0
11499,hi gm fam have a great day ahead,,0
11500,you dont get airdrop the nft its the wl for it also double woop from staking but you need to be fast because snapshot will be in few hours,,1
11501,gym,,0
11502,helllo,,0
11503,hello everyone here,,0
11504,hii,,0
11505,thx team and devs for giving talisman master ,,1
11506, ,,0
11507,gm,,0
11508,cm,,0
11509,wassup guys,,0
11510,wassup,,0
11511,gm everyone,,0
11512,yo,,0
11513,gm fam,,0
11514,gm,,0
11515,gm,,0
11516,what is the benifit of the guru master i know it could airdrop the new nft but some other things i need to know,,1
11517,i sold my bohemia in the beginning at   and now want to get back in,,0
11518,questionn,,0
11519,hhi guys,,0
11520,mint,,1
11521,gm,,0
11522,hii,,0
11523,i already forgot,,0
11524,we had to submit our wallets right,,1
11525,we will get it haha,,1
11526,test successful  ,,0
11527,congrats,,1
11528,test,,0
11529,yes i have submitted it through the dyno form,,0
11530,yo fam,,0
11531,you have the role alr so i believe should be wallet submission if you have done it then its wait for wl token to be airdropped to you then mint day,,1
11532,looking forward for the mint  ,,1
11533,ok thank you mate   ,,0
11534,gucci  ,,0
11535,talisman is the wl token that allows you to mint for the fabulosa nft,,1
11536,think there are further details on what to do in the announcements,,0
11537,read ,,0
11538,congrats  ,,1
11539,what to do next,,0
11540,is talisman a wl token or nft itself im little confused here,,-1
11541,got my talisman,,0
11542,me too out of liquid lol,,0
11543,hello,,0
11544,but right now i am out of sol,,-1
11545,i was also thinking of buying one bohemia nft,,1
11546,nice i am excited to join the fam,,1
11547,welcome all to bohemia,,0
11548,les goo,,0
11549,geve,,0
11550,hi,,0
11551,hi there,,0
11552,gmgm,,0
11553,ibwant your luck,,0
11554,any mod here ,,0
11555,gm,,0
11556,good luck all,,1
11557,i am back,,0
11558,gm,,0
11559,wen mint,,1
11560,yurrr,,0
11561,hello,,0
11562,exactly,,0
11563,yes,,0
11564,hey frens,,0
11565,gm,,0
11566,i am buzzing,,1
11567,talisman master role is wl,,1
11568,morning fam ,,0
11569,morning guys,,0
11570,i won raffle from boku lab how do i submit proof,,1
11571,you have the role already ,,0
11572,hey hey,,0
11573,heyy,,0
11574, to wen talisman master role,,0
11575,wads good,,0
11576,anytime  ,,0
11577,cool thank you for replying and helping me ,,0
11578,the announcement regard those with talisman master ii role,,0
11579,thank you man  ,,0
11580,it is already in the dyno form,,0
11581,i was checking announcements but dont really got it   do i need to submit my wallet address or its already added from the dyno form,,-1
11582,congrats fam  ,,1
11583,welcome love the jelly fam  ,,1
11584,just won the talisman master role thank you   ,,1
11585,hi from jelly esports,,0
11586,hello,,0
11587,thx   ,,0
11588,aaa oke,,0
11589,you already sent it in the dyno form,,1
11590,theres no need to,,0
11591,where i put my wallet ,,1
11592,hi all,,0
11593,yep,,0
11594,hello,,0
11595,i have wl ,,1
11596,hi,,0
11597,hello,,0
11598,hi,,0
11599, thank you   ,,0
11600,hello,,0
11601,yooo,,0
11602,supppp,,0
11603,whats going on,,0
11604,sure  ,,0
11605,hello,,0
11606,no mate ,,0
11607,no it isnt,,0
11608,is this a free mint ,,1
11609,gm,,0
11610,hey  i have a question can i ask,,0
11611,check  and  for some chances to get wl  ,,1
11612,hello,,0
11613,sup  ,,0
11614,hello jelly fam,,0
11615,hi guys,,0
11616,hey there,,0
11617,hello,,0
11618,oh then i hope i got no luck this time  ,,0
11619, ,,0
11620,role check,,0
11621,role x,,0
11622,no worries fam happy to help  ,,0
11623,there are sitll other newer collabs we are processing  ,,0
11624,thx,,0
11625,oh trueth,,0
11626,yes sir,,0
11627,yeah wallets has been collected right or some collabs are still left i filled the form from atleast  projects lol haha,,1
11628,haven t checked just got home from work haha,,0
11629,did you get talisman airdrop yet,,0
11630,hope you all ready for fabulosa,,1
11631,hello everyone,,0
11632,hi from jellyesports,,0
11633,hi from project whitelist,,1
11634,u already submitted your wallet through the form you submiited  ,,1
11635,hi welcome,,0
11636,check  and some other posts in ,,0
11637,where is the wallet submit,,1
11638,hi from project whitelist,,1
11639,hi,,0
11640,gm,,0
11641,man can u wl me too plijjj,,1
11642,do i need to do  wallet submission,,1
11643,thanks ,,0
11644,sadddd,,-1
11645,no dont think so,,0
11646,no right,,0
11647,am i wl,,1
11648,yes  ,,0
11649,hi,,0
11650,talimsan master is wl role,,1
11651,hi,,0
11652,hi from just hype dao,,0
11653,congrats,,1
11654,welcome everyone,,0
11655,thanks for being here   ,,0
11656,hello fam    ,,0
11657,test,,0
11658,this moves to my i got wl folder on discord,,1
11659,lfg,,1
11660,welcome everyone ,,0
11661,yup,,0
11662,talisman master mean wl right ,,1
11663,thanks mate,,0
11664,got talisman master allocated thank you,,1
11665,congratz bro  i really wanted it  ,,1
11666, man i finally won something,,1
11667,oh hey princess  ,,0
11668,hi welcome to bohemia,,0
11669,hello from solmasonry,,0
11670,same  ,,0
11671,sup,,0
11672,i steady w,,0
11673,me too i won,,0
11674,question is  where should i send this proof d,,0
11675,hi,,0
11676,happyest day ever ,,1
11677,hello,,0
11678,wish i won lol,,1
11679,lfgggg,,1
11680, ,,0
11681,sup boys,,0
11682,good day,,0
11683,hello guys ,,0
11684,how s everyone,,0
11685,yo,,0
11686,i guess so,,0
11687,hi gm fam,,0
11688,hey,,0
11689,gm,,0
11690,gm,,0
11691,evening all,,0
11692,yo,,0
11693,gm,,0
11694,woop woop,,1
11695,gm,,0
11696,suggest you to enter the giveaway  ,,0
11697,haaro,,0
11698,is there still wl,,1
11699,gm,,0
11700,hey,,0
11701,whats up fam,,0
11702,hello  ,,0
11703,yes  ,,0
11704,a,,0
11705,hi,,0
11706,thanks,,0
11707,hey sup fam,,0
11708,welcome,,0
11709,yo guys,,0
11710,hi from project whitelist,,1
11711,okay but before mint can i see which wallet i submitted ,,0
11712,how  are you doing,,0
11713,oh thank you,,0
11714,yo evening all,,0
11715,we already got your wallet through the forms you submitted  ,,1
11716,on friday you ll be able to check if your wallet is submitted successfully,,1
11717, check talisman master,,0
11718,where can i submit my wallet,,1
11719,lfg,,1
11720,hi,,0
11721,oh ok,,0
11722,hi,,0
11723,just the same as one we just use it for organizational reasons  ,,0
11724,what does talisman master two means,,0
11725,gm folks,,0
11726,see you soon guys,,0
11727,by guys going to play football,,0
11728,welcome everyone,,0
11729,hello fam o,,0
11730,yo,,0
11731,hello,,0
11732,hi,,0
11733,will their be address of the token ,,1
11734,gm,,0
11735,o a long time ago when i be able to se bull market,,0
11736,gm,,0
11737,hi,,0
11738,has the airdrop for collabs happened already,,1
11739,been in this space for way to long to fall for these cheap tricks,,0
11740,yoyo,,0
11741,its a pleasure to be here boss thanks,,1
11742,yes beware of those scam links,,-1
11743,yo,,0
11744,gm everyone,,0
11745,  ,,0
11746,hi,,0
11747,gm,,0
11748,yup,,0
11749,will ban him,,-1
11750,thanks,,0
11751,deleted  ,,0
11752,beware,,0
11753,scam,,-1
11754,scam,,-1
11755,     ,,0
11756,hi  from just hype    ,,0
11757,bull time lmao,,0
11758,march of ,,0
11759,  when you started bro,,0
11760,i say thats a good time to start,,0
11761,lol i started in bear,,0
11762,just administrative organization purposes just the same  ,,0
11763,yupp me too hahaha,,0
11764,no worries fam congrats on the wl  ,,1
11765,what s the difference between tailsmen master and ,,0
11766,noice you started perhaps at right time i started during bull makret,,0
11767,gm,,0
11768,welcome all the new faces happy to see you boo bears  ,,1
11769,hey fam,,0
11770,i wish i had wl,,1
11771,c,,0
11772,gm,,0
11773,gg ,,1
11774,yes i started this month,,0
11775, ,,0
11776,good thing,,0
11777,yupp fam,,0
11778,but yeah probably indians starting now,,0
11779,yes but our government off,,0
11780,nah man i dont see many indians elsewhere,,0
11781,thanks boss,,0
11782,i check every moment,,0
11783,idk    but indians are quite active in nfts right now so,,0
11784,wow haha but how i wonder i mean how so many indians in bohemia did bohemia collab with any indian dao,,0
11785,hellooo,,0
11786,that im not sure but maybe you can we will keep everyone posted if you can change it in the future,,0
11787,hello fam,,0
11788,yes fabulosa kindly check    ,,0
11789,yupp me too fam,,0
11790,thanks boss can i change it later if i want,,0
11791,is there a new mint happening,,1
11792,hello everyone,,0
11793,we already got your wallet through the form you submitted there will be a chance in the future where u can check your wallet address submitted thank you,,1
11794,when wallet submission,,1
11795,welcome to bohemia everyone,,0
11796,gm guys how is it going ,,0
11797,hello,,0
11798,yoo,,0
11799,yow,,0
11800,yo,,0
11801,morning,,0
11802,all good fam ty hope u doing well too,,0
11803,hello guys how is everyone doing hope everyone is doing well,,0
11804,gm,,0
11805,gm,,0
11806,yeah hi,,0
11807,helo,,0
11808,whoa i see a lot of indians here,,0
11809,hiii,,0
11810,hi man whats up,,0
11811,good evening fam,,0
11812,good evening  ,,0
11813,hello,,0
11814,hiii,,0
11815,woopwoop,,1
11816,hi whats up fam,,0
11817,yoo,,0
11818,helo,,0
11819,hlo,,0
11820,hi hyper,,0
11821,welcome everyone,,0
11822,sup,,0
11823,yes you are,,0
11824,yo,,0
11825,was i am fabulosa wled,,1
11826,o,,0
11827,fabulosa mint is programmed for the  of july,,1
11828,mint date will be revealed after  days,,1
11829, when next mint,,1
11830,when was the further mint,,1
11831,not too shabby and you fam,,0
11832,yes you did,,0
11833, did i get the wl role from chainmyth,,1
11834,helo sir  i am active always,,0
11835,hi fam,,0
11836,hi guys happy thursday everyone,,0
11837,hi,,0
11838,how s it going,,0
11839,yo,,0
11840,hii,,0
11841,k,,0
11842,woopwoop,,1
11843,this  is awesome,,1
11844,gm fam,,0
11845, woop,,1
11846,hi   ,,0
11847,woopwoop,,1
11848,hey  ,,0
11849,hi,,0
11850,       ,,0
11851,gm,,0
11852,  ,,0
11853,truth shaka,,0
11854,woop,,1
11855,        ,,0
11856,errybodyshow me your   ,,0
11857,good morning,,0
11858,hi hi,,0
11859,gm everyone  ,,0
11860,woopwoop,,1
11861,gm,,0
11862,gm,,0
11863,lovely isn t it  ,,0
11864,nice sneakpeeks,,0
11865,artgasm,,0
11866,hi from tribe,,0
11867,welcome fam,,0
11868,gm,,0
11869,hello,,0
11870,freakin excited,,1
11871,hi from project whitelist,,1
11872,hi,,0
11873,just two days for mint reveal,,1
11874,getting close to mint day,,1
11875,hey,,0
11876,gm,,0
11877,okay sir  ,,0
11878,well release an excel sheet in these days,,0
11879,can i check my wallet address sir ,,1
11880,we already have your wallet from dyno form,,1
11881,hello  is it too late for submit wallet ,,1
11882,i believe that wl won from rocketbois are still being distributed hold on,,1
11883,nice art,,1
11884,hello,,0
11885,gm ,,0
11886,thanks for the warm welcome     ,,1
11887,right,,0
11888,strong project,,1
11889,sup g,,0
11890,thank you for having us,,0
11891,nice where are from in india fam,,0
11892,hi whats up,,0
11893,hi welcome to bohemia,,0
11894,hello,,0
11895,hello,,0
11896,always working,,0
11897,oh nice maybe  can help you with that,,0
11898,absolutely,,0
11899,hi was checking of role is assigned   i won ga for fabulosa in rocketbois raffle,,0
11900,gmgm,,0
11901,gm,,0
11902,gm,,0
11903,devs please dont stop putting these sneak peeks out they are fire,,1
11904,super project,,1
11905,gm,,0
11906,gm fam,,0
11907,gm,,0
11908,whats up sculptor,,0
11909,guess might be pretty pricy,,0
11910,h,,0
11911,always happen when tokens are involved so keep an eye if u want one badly,,1
11912,yeah i believe so,,0
11913,oh there might be some,,0
11914,thanks,,0
11915,nope it will be on the  of july,,0
11916,is the mint price announced already,,1
11917,i doubt because nobody has one yet ahha you might want to check fff in these days btw,,0
11918,same just chilling,,0
11919,all good chilling around and you,,0
11920,is anyone selling a wl pass,,1
11921,whats up fam,,0
11922,gm,,0
11923,welcome back,,0
11924,hi guys i am back lol,,0
11925,sup fam,,0
11926,eyo,,0
11927,im back fam,,0
11928,i see thanks for the info broho  ,,0
11929,sir you seen i am active,,0
11930,i am soon wl,,1
11931,link,,0
11932,hi,,0
11933,hi,,0
11934,thank you so excited  ,,1
11935,congrats,,1
11936,hey,,0
11937,thank you  ,,0
11938,congrats  ,,1
11939,won wl here from fatcats,,1
11940,hello  ,,0
11941,gm,,0
11942,hey,,0
11943,yo fam,,0
11944,hi,,0
11945,hi,,0
11946,gm,,0
11947,what do u mean,,0
11948,sir staking,,-1
11949,woopwoop,,1
11950,appreciate it ,,0
11951,heyy,,0
11952,hay,,0
11953,hi,,0
11954,gm frenssss,,0
11955,bohemia  ,,0
11956,is that bohemia next to my name my role,,0
11957,buzzing for mint whos buzzing too,,1
11958,hi,,0
11959,sir you great mod,,1
11960,good morning ,,0
11961,oo,,0
11962,lfg,,1
11963,lfg,,1
11964,gm everyone,,0
11965,hey,,0
11966,still early to sleep ,,0
11967,keep working all,,0
11968,hey,,0
11969, ,,0
11970,gm fam,,0
11971,gm,,0
11972,i mint  bohemia and long time hold,,1
11973,sir your  sleep time,,0
11974,i am back,,0
11975,yo,,0
11976,the form you filled up  is good already we got your wallet over there  ,,1
11977,gm,,0
11978,okay thank you,,0
11979,take general issue insteed,,0
11980,did i use wrong ticketing,,0
11981,okay thank you,,0
11982,create a ticket and send some proof and ill have a look at it,,0
11983,how do i claim my wl spot won from roecktbois,,1
11984,thanks,,0
11985,thanks,,0
11986,form you filled out is enough,,0
11987,we will send out a excel sheet very soon so that you can check,,0
11988,how can i check wallet ser,,1
11989,i have no such memory of it but i trust you  ,,0
11990,so much love from this community thank you for the welcome,,1
11991,gm all,,0
11992, is there any wallet submission or the form i filled is enough,,1
11993,hey guys,,0
11994,you good bro ,,0
11995,thx mate,,0
11996,yes ,,0
11997,so im whitelisted and will get token for mint,,1
11998,if tou have the talisman master youre good to go,,1
11999,talisman master ii is just an administrative role purposes mainly used for eth projects,,1
12000,i filled dyno form,,1
12001,how to get talisman master ii role i only have talisman master,,0
12002,no worries fam congrats,,0
12003,have a nice day,,0
12004,ok thank you guys,,0
12005,ahhhhhhh,,0
12006,we already got your wallet throough the form you filled up,,1
12007,yes,,0
12008,cuz you have the role,,0
