,Chat_msg
14036,i believe that   can help you
14037,how do i send my boho on retreat i just got my guru letter but when i try sending it says guru nft not provided
14038,omg so cool haha have you ever ended a friendship because of this
14040,check  and 
14041,no i learned playing with friends for money  
14042,not yet but it will be announced this weekend i believe
14044,kick my team wins by how much
14045,yes of corse
14046,yes you know ein
14047,oh nice
14048,heyy
14049,has there been any talk of mint price for the fabulosa mint yet tryna get myself prepared for the month
14050,hey
14052,you are going to watch 
14053,i saw that palmeiras will play today
14054,hello
14055,im happy to hear thatt    
14056,the best thanks  
14057,everything going well what about you
14058,hi how s things
14059,gn dude
14060,hello
14061,just arrived and gonna have a look around  artwork is amazing   seen it on rocketbois and had to come here
14062,gn everyone
14063,hey
14064,hey hey
14066,you are welcome
14068,more baby than me  
14069,damn it was almost
14070,thx mate
14072,welcome
14073,almost the same age as me  
14074,welcomoe
14075,heeeyyy
14076,and youuu
14077,thx mate
14078,im  im a baby
14079,welcome back
14081,im back guys
14083,how old are you  and if we go hahahaha
14084,yeahh hahahah
14085,good
14088,gm
14090,          
14091,its funny
14092,type twins hahahaah
14094,we seem to be in the same situation all the time  
14097,were together
14098,h
14099,me too hahhaa  
14100,did you learn like this its true
14101,im trying to learn there are many combinations
14102,i was just in theory
14103,youtube can help to learn quick
14104,poker is simple
14105,have you tried to play
14106,       
14107,im kinda silly
14108,it doesnt seem very difficult
14109,heyy
14110,yeah nice
14111,       
14115,its hard it is not hahaah
14117,i havent quite understood yet
14118,me too ahahahaha
14119,yes i agree
14120,gm
14121,heyy
14122,wow the sneak peaks are amazing that is art
14123,gm
14124,gm
14125,sup
14126,yo
14127,okay buddy i m waiting
14128,and youu
14129,i will try to learn to participate
14130,im good and you
14131,will you participate in poker
14132,how are you doing
14133,heyy
14134,sadly i cant see tickets youll get attended tho
14135,hi
14137,im from brazil and you
14138,no problem fam  there is my ticket
14139,haha wheree are you from
14140,im fine   thanks for asking
14141,hey fam sorry for the late response kindly head over to 
14142,im fine wbu
14143,how are u
14144,how are you
14145,hey girl
14146,hello
14149,yo
14150,we have to be
14151,who can i talk about collab
14152,im good mate
14153,im great and u 
14154,stay confident   
14155,how are you
14156,heyy      
14158,i still dont see results but i keep doing it
14159, hey mate
14160,hmm  
14161,and is it working
14162,heyyy how are you
14163,hellooo
14164,two hours to go hahaah
14165,yes but im on a diet  
14167,heyy
14168,hii
14169,hi guys
14170,is it getting close to dinner time
14171,hii kaneki
14172,hey
14173,hahahahaha maybe its not enough
14174,me too but its just over
14175,hellooo
14176,hi
14177,hmm i like
14178,understood hahahaa
14179,cool and calm
14180,im fine and u
14181,hw are you doing
14182,heyy how are u
14183,hello everyone
14184,i ate only one but i wanted one more
14186,yes bread with pate salad and tomato
14187,salad   
14188,gn
14189,gn
14190,more or less its like a natural snack
14191,gn
14192,are you eating bread
14193,its the afternoon snack hahaahaha
14194,you are always eating hahahahaha
14195,and youuu
14196,eating    hahaha and talking with you
14197,and what you are doing 
14198,im good tks   
14199,im doing great and u 
14200,how you doing
14201,hahah cute
14202,yeaahhh      
14203,hi manu  
14204,are you happy hahaaha
14205,hey girl
14206,good night
14207,heyy welcome
14208,i saw this and i already thought it was the day hahah
14210,heyy im back
14211,gn
14212,good night fam
14213,welcome fam
14214,hi from project whitelist
14215,hi from project whitelist
14216,all good bro
14217,hey
14218,wasup
14219,heyo
14220,hi
14221,how are you fam
14222,hi
14223,hey
14224,heyy
14225,whats up
14226,up
14227,bel
14228,poker link will drop  july 
14229,hi from project whitelist
14230,hi
14231,yup
14232,i did a form but is there a way to double check confirm
14233,how do i check my wallet submission
14234,heyoo
14235,hii
14236,hi
14237,hi
14238,poker 
14241,welcome to bohemia sony more info on fabulosa here        
14242,hi from project whitelist
14243,yess i agree haha
14244,awesome fam
14245,hey dude
14246,me too   
14247,nice to see u
14248,great to hear that
14249,im in the same vibe
14250,all good for today hbu
14251,thank youu hahaah
14252,heyy how you doing
14253,welcome back fam
14254,good afternoon
14255,im back
14256,good afternoon people
14257,yo
14258,no you dont unless you won wl from another dao
14259,do we get roles for the new mint
14260,thank you so much for appreciation
14261,yo
14262,wow i love that wish i was half that talented at drawing
14263,hey  have a look at   
14264,oh ok forgot abt that thx
14265,we already have it from the dyno form
14266,theres no need to
14267,yea from noti gang
14268,where do i submit address
14269,you got from jakey
14270,that way youll be able which wallet you submitted and if the address is correct
14271,ty
14272,all good then   anyway later on this week an excel sheet will be released
14273,yes
14274,great thanks    i already filled that in
14275,does my role mean i got wl
14277,wagmi
14279,you mean the wallet no we already have that from the dyno form
14280,ask team about it fam
14281,   you was waiting for something you saw
14282,submit needed anywhere trying to fix all things necessary right now
14283,no worries enjoy mate
14284,oh thank god was about to stress that it wouldnt get applied in time
14285,yes you got it fam congratulations
14286,ticket got closed of me asking about fabulosa wl role but i think talisman master is the right one  
14288,fingers crossed 
14289,hello
14290,lfg
14291,may or may not have won wl from my dao       hehehehe glad to be here
14292,we glad you like it  
14294,woopwoop
14295,morning sir
14296,the fabulosa looks amazing
14299,welcome to bohemia fam
14300,welcome
14301,hi from project whitelist
14302,hii
14303,dw fam all good feel free to ask when you have doubts
14304,oh yeah i rmbr hearing that somewhere my bad   appreciate it tho
14307,woopwoop
14308,all good missed the chat whole day
14309,hey not too bad and you
14310,hey velingher how are you
14311,hey yeah actually we are gonna release an excel sheet later on this week
14312,hey is there any way to check which wallet i submitted
14314,all good hbu
14315,boho s
14316,hello
14317,sup
14318,hey
14319,sup
14320,sup fam
14321,welcome fam
14322,hi
14323,good luck fam
14324,hi from project whitelist
14325,hi
14326,wassup
14327,hy
14328,wagmi guys
14329,thanks velinger hope to play the tournament with yall and may the best poker winners win  
14330,fingers crossed for ya fam  
14331,i have always been bullish on this project and the original collection since  and i love the fact they we are opening the doors to everyone through poker thank you to all the mods this may be my only shot to get wl for talisman which i am ultra bullish on
14332,what did they tell you
14333,you already opened a ticket about it yesterday right
14334,from pakita
14335,i have send u proof
14336,bro i didnt got my wl
14337,welcome  
14338,hi from project wl
14339,ge
14341,good evening guys
14342,hey fam
14343,hello
14344,h
14345,yoo
14346,yooo
14347,your welcome
14348,thanks
14349,welcomee
14350,hi from projectwhitelist
14351,hello
14352,hello
14353,gn
14354,hii
14355,gn
14356,hi
14357,gn
14358,good night fam  
14359,welcome
14360,yeahmatrica rugging    if is  staked youre good to go
14361,hii
14362,hi
14363,woop woop  
14364, welcome to bohemia  
14365,welcome broho   
14366,is this a near project or sol 
14367,welcome to the fam   
14368,welcome to best community out there    were glad to have you on board  
14369,thank you
14370,its in my matrica staking wallet matrica just takes forever these days 
14371,sup fam  
14372,massive crowd
14373,okk thanks for update  
14374,sup guys how s it going here
14375,yo
14376,welcome 
14377,i told  about it
14378,event time  is also not correct
14379,beautiful
14380,everything i know its already in 
14381,when poker  
14382,lfg dont forget to      new boho holder    welcome 
14383,good night
14384,hey
14385,hello
14386,hahahahaha 
14387,now just gotta wait for matrica to let me through the gates 
14388,hes cappin look at his roles
14389,great choice  was about to buy that one  guru masters are criminally underrated right now
14391,gm
14392,gm
14393,yoo
14394,yo
14395,ohk
14397,hii
14398,hi
14399,here
14400,guys who s alpha hunter
14401,no problem bro
14402,ok sorry
14403,nice
14404,no spamming here for that there is a channel 
14405,hi from project whitelist
14408,just bought my first boho now i can finally say it woop woop
14409,yoo
14410,yo fam
14411,sui
14412,hey
14413,hola fam
14414,welcomee
14415,hello welcome
14416,gn
14417,hi from project whitelist
14418,gn
14419,gn
14421,i m new and i won a wl for a talisman  will i need to buy a bohemian too to get the full utility of it
14422,how to get guru master role
14423,yoo
14424,yo
14425,yoo
14426,all good bro
14427,yo
14428,sup everyone
14430,hey
14431,heyo
14432,lfg
14433,verified
14435,hi welcomee
14436,hello be welcome
14437,hello and welcome to all the new people woop woop   
14438,welcome
14439,hi from pwl
14440,welcomee
14441,hi from project whitelist
14442,check  and 
14443,welcome
14444,welcomee
14445,welcome
14446,heyy
14447,hi frens from solana cyclopes
14448,gn
14449,welcome
14450,hi from project whitelist
14451,how are you
14452,buy
14453,hii
14454,gn
14455,hi
14456,gn
14457,a couple of minutes usually
14458,amazing 
14459,no youre all good
14460,i just reverified how londg until i get my role back wierd because ive gotten all my airdrops
14462,how to get wl fabulosa mint
14463,hello
14464,lfgg
14465,hello
14466,lfg
14468,yoo
14469,yoo
14470,yeah so much
14471,omg
14472,thanks  
14473,wow thats really impressive
14474,the mothership  the chicago area has been getting hit pretty hard with thunderstorms the last few days fortunately for us the bulk of it has been to the north of us so its been great to watch from a distance   we were mid bbq on the  of july when i noticed this mothership creeping slowly to the north of us i grabbed my drone and captured this  with all the travel and work i go through for some of my landscapecityscape photos its nice when one literally drops on my front door  
14475,welcomeee
14477,maybe matrica got you try to reverify
14478,hello
14479,welcome
14480,hi from project whitelist
14481,do i beed to reverify
14482,why did i lose all my roles
14483,its not displaying the time
14484,and when is the poker
14485,do gurus need to submit their wallets
14486,whats goodie fellow bohos
14487,hello
14488,didnt finished yet
14489,wonderful
14490,good
14491,how are u
14492,i thought poker started at 
14493,hey
14494,okay
14495,can you check for chainmyth
14496,heyy gm
14497,welcomee
14498,tip  more active on twitter  
14499,for some are finished for some still ongoing
14500,yes i get it
14501,yo bro is the raffle done
14502,hi
14503,everything is clear there i guess  
14504,yes
14505,hi from project whitelist
14507,did you go to  one 
14508,oh ok
14509,a ok ok i understand and do i have more chances to get wl
14511,youre quite active
14512,i was expecting you to know this  
14513,the one they just gave me
14514,wich one 
14515, sir explain to me what role is this
14516,yo fam
14517, and  for you too
14518,heyy
14519,can you explain to me what this role is for
14520,welcome   
14522,be welcome   
14524,thx you bro
14525,congrats bro 
14527,faith must go on    
14528,heyy
14529,welcome to bohemia adrian more info on fabulosa here           
14530,hi
14533,lfg
14535,woopwoop
14537,lfg
14539,welcomee
14540,hi from project wl
14541,thx you sir
14542,thx you mate
14543,hi from project whitelist
14544,keep up the good work guys     
14547,  cheer up im waiting for you   
14548,woooooowww  congratsssss  
14550,congratss     
14551,   congrats
14552,hello from project whitelist  
14553,hi jeremy   welcome
14554,heyy welcome
14555,thats the way
14556,im staying tuned
14557,hi from project whitelist
14558,welcomee
14559,hellooo
14560,hello from project whitelist
14561,from day 
14562,always staked
14563,thank u
14564,stay tuned  
14565,talisman role is for people who won wl for fabulosa from other daos  i can see from your pfp that you have a guru master keep it staked and you will recive wl too
14566,one day well join in this   
14567,when will the link for poker be posted
14569,and what this role give me
14570,thanks manu        you deserve it too im waiting for you
14571,how to get talisman role
14573,off course
14575,hey dude
14576,             woop woop
14577,u can help me
14578,hey guys
14579,heyy gm
14580,helloo
14581,hey boho
14582,hi fam mint will be in sol price still tba
14583,its fine hahaah wbu
14584,sup team
14585,who waiting for poker  
14586,thanks
14587,still tba
14588,hi from project whitelist
14589,hows the squad doin
14590,thanks do we know how much
14591,hi from fatcats
14592,its in sol fam
14593,hello i have a question about the mint on the  is the mint going to be in woop and exactly how much i m flying out to europe for a trip during the  so i m trying to get everything ready before i leave does anyone have any help with this please and thank you
14594,heyy youuu
14595,hey
14596,so cute
14597,hello
14599,test
14601,im happy for you
14602,congrats  you deserve            
14604,and keep up the good work
14605,omggg
14606, congrats please check 
14607,you are welcome
14608,heyy welcome    congratss
14609,g
14610,cool thanks mate
14611,this weekend they will release the worksheet to check if its right
14612,if you did it by dyno forms your address is already saved
14613,hi from project whitelist
14614,hi i won a wl in jikan how can i verify my submitted address
14615,gm kaytee   
14616,hey welcome
14617,gm
14618,yeahh  
14619,are we all still waiting on the link to be posted
14620,hi from project whitelist
14621,can t  for the tournament
14622,im back
14623,heyy
14624,sup guys
14625,sup guys
14626,waiting on the link to be posted
14627,welcome  
14628,hi from project whitelist
14630,whens the tournament open
14631,welcome everyone
14632,hi from project whitelist
14633,h
14634,hi from project whitelist
14635,yooo
14636,yo
14637,hiii
14638,gm
14640,woopwoop
14641,welcome famss
14642,hi from pwl
14643,good morning guys
14644,hi from project whitelist
14645,hello
14646,hi from project white list
14647,welcome
14648,hi
14649,hi
14650,hi from project whitelist
14651,not me confusion
14652,hi from there
14653,welcome everyone
14654,hello
14655,good night guys
14656,hi from project whitelist
14657,hi from project whitelist
14658,yo
14660,welcome guys
14661,hi from project whitelist
14662,hi from project whitelist
14663,yoo
14664,yes you said you work in office
14665,hi from project whitelist
14666,office days 
14667,welcome
14668,hi from project wl
14669,welcome guys  check  and 
14670,hi from project whitelist
14671,hi from project whitelist
14672,btw sir how is your office days going
14673,hi
14674,absolutely
14676,haha 
14677,xd
14678,its fine instead of that give me talisman    
14679,can someone help me and explain what the roles mean   
14680,hi from project whitelist
14681,hi from project whitelist
14682,welcome guys 
14684,hello from project whitelist 
14685,eyo
14686,hey guys   
14687,dont forget to check     and    woop woop  
14688,welcome everyone
14689,hi from project whitelist  
14690,i got level   
14692,welcome everyone check  and  for fabulosa
14693,hi from project wl
14694,hi
14695,hi from pwl
14696,hi from project whitelist
14697,yoo
14698,good evening guys
14700,welcomee all
14701,hi
14702,gn all
14703,hello everyone
14704,yoo guys
14705,hi from project whitelist
14706,hi from project whitelist
14707,hii all
14710,boheemiaaaaa rhapsody
14711,welcome fam
14712,yurrr
14713,hi from project whitelist
14714,hi fr project whitelist
14715,hi from project whitelist
14716,hi from project whitelist
14717,hi from project whitelist
14718,also check out our 
14719,didnt know yall was launching some on eth
14720,check out    for fabulosa
14721,was good from project whitelist
14722,hi from project whitelist
14723,welcome all to bohemia
14724,hii from project whitelist
14725,hey
14726,hi from project whitelist
14727,hi from project whitelist
14728,hi from project whitelist  
14729,hi from project whitelist
14730,hi from project whitelist
14731,hi from project whitelist
14733,hey everyone
14734,hi from project whitelist
14735,hi from project whitelist
14736,hi from project wl
14737,hi from project whitelist
14738,gn
14739,hi from project whitelist
14740,is it so
14741,hi all 
14742,hi from project whitelist
14744,talisman master means wl right 
14745,im good too ser i have a question ser
14747,hey
14748,cheers broho
14749,i will let the team know
14750,hey fam what time are we playing poker at its not showing the time correctly   
14752,same issue
14753,what time is it man
14755,ive posted something in  what you guys think
14756,hi
14757,hi
14758, for here from stone frogs raffle
14759,hi everybody
14760,good day guys
14761,lg
14762,gm fam
14763,test
14764,how are you doing
14765,gm fam
14766,of what 
14767,sup
14768,gm
14769,i didnt realize i won wl
14770,omg
14772,hi guys
14773,hi guys
14774,when poker   
14775,wallet submission started
14776,yo
14777,yo
14778,hi
14779,hi
14782,hi
14783,hi
14784,yes
14785,yesh
14786,im very good ty and you 
14787,because you said all liquidity is in duppies
14788,i was speaking about fabulosa
14789,hello ser how are you 
14790,no need dust
14791,hello  
14792,you need sol to mint too right 
14793,ga guys
14794,yesh but all liq in duppies rn 
14795,yesh me too
14796,but second market its always a good option too
14797,i know im not a lucky person either
14798,i try lots of time
14799,its hard to win wl in twitter giveway  
14801,i dont have wl  
14802,cant wait to put my hands on this art
14803,me too haha
14804,hi
14805,me
14806,hey
14807,hyped for mint
14808,hey
14809,sup
14810,w
14811,hey anna
14813,heyy
14815,yeah tigers got you 
14816,yeah tigers was the lucky one
14817,i filled the form from atleast  daos now got the wl
14818,yes sir
14819,congrats
14821,iwi
14822,looks like i got wl  
14823,thanks
14824,ok
14825,sup
14826,hey maestro how are u 
14828,supp
14829,hey
14830,my favourite fabulosa  
14832,please check   off course by making arts it wont be guaranteed but it will boost your chances
14833,hey
14834,gm gang
14835,hello guys can i get talisman role by making arts please tell guys
14836,thanks buddy haha
14837,lets goooo poker game
14839,no worries been very badly busy with arts making a mythic one 
14840,hi
14841,thanks mate
14842,i hope you will get it
14844,lfg  fun time 
14845,hey i am happy to see you like it fam   
14846,tell me how to get wl to mint those beautiful arts
14847,hello
14848,damn that s a shame i hope i get it taking a break is often times as rewarding as it is detrimental
14849,yes you are congrats
14850,hi
14851,yee congratulations
14852,perfect announcement   i hope i can participate but unluckily i dont know to play 
14853,hello guys can i get talisman role by making arts
14854,am i already wl
14855,still ongoing for some daos
14856,unfortunately not only the guru master bohos  or if youre lucky here
14857,because thats how the dyno forms are structured  
14858,bro the art is out of this world no bs this project looks amazing
14859,i won from pakita
14860,wl still ongoing or closed
14861,yoo
14862,can wait for my role this friday   
14863,y
14864,how do you know
14865,y the fuck i dont have wl for this sexy ass project
14867,yoyo
14868,lets hear it
14869,so i m not guaranteed wl for the second mint then even by owning a boho staked
14870,ummm i have a question
14871,you already did that in the dyno form
14872,where can i submit my wallet
14873,you will need a guru letter wich can be bought from me or you can buy a bottle for  woop then decipher it from  woop and you have  chance to get a guru letter and  love letter you will also need   woop to send your boho on retreat for  days and then its a guru master  but if you do it now it will be too late because snapshot will be taken on  and it wont come back in time
14874,yep
14875,do i have wl
14876,love letters
14878,hi
14879,ok guys thanks
14880,how do i become a guru master
14881,you dont need to we have it from the dyno form
14882,you already did in the dyno form
14883,no need to
14884,hi and congrats on wl
14885,where to submit wallet
14886,sup fam
14887,so next we will have  collection minting on  of july al guru master holders will recive wl after that will be the big bang everyone who has their bohos staked received transportari      wich will be used for  avatars  i will highly suggest reading the manuscript  on the website and scroll through 
14888,sup
14889,wassup guys
14890,hi
14891,man lots going on here took some time away from nft s to recharge can someone sum up for me what i have to do i have my boho staked what s next
14892,love your bayc
14893,ty
14894,yes
14895,done it ser now dont need to do anything but wait for airdrop to wallet
14896,hello
14897,if you did that youre good
14898,evening  
14899,check 
14900,gm bohemians
14901,thanks man
14902,after i filled the form on dyno so i can chill now
14903,welcome to bohemia brother
14904,hi lethal
14906,hello  
14907,good morning everyone
14908,gm guys
14909,lfg
14910,oyeah excited abt the announcement
14911,gm
14912,gn
14913,omgggg i just won a giveaway 
14914,gm
14915,gm
14916,yo
14917,gm
14918, of july  pm utc
14919,when snapshot for guru
14920,woop
14921,you already submitted it in the dyno form  
14922,hey peeps
14923,gm fam
14926,where submit wallet
14927,hi
14930,gm fam
14931,when
14932,hi
14933,im back babyyy
14934,pretty goodhbu
14935,how are u guys 
14936,hi
14937,yoyoyo 
14938,basc roles will be given out later today or tomorrow
14940,hey  how are you sir
14941,whats good everyone 
14942,hey johnny
14943,gm
14944,hey
14945,good evening  
14948,almost finished with art just some finishing touches  
14950,i am back
14954,yo
14955,yo
14956,lets fuckin goo 
14957,yep
14958,role talisman master is whitelist sir
14960,yo
14961,hi  
14962,np fam fingers crossed for ya
14963,hello sir
14964,ah man that suks but thanks for responses
14965,  ty  
14966,for anyone looking to secure a wl spot
14967,in that case you will enter a raffle of  talismans but you wont have it guaranteed
14969,yooo guys
14970,i have had all of them staked since staking started but never sent on a retreat or anything so i guess not
14971,lfg llfg
14972,gm
14974,you hold at least a guru master right
14975,yoyoo
14976,so i guess i had to do something to participate in this upcoming mint
14978,hey  
14980,hey fam
14981,i cant see tickets one of the mod will help ya dont worry
14982,sure 
14984,your wallet in the dyno form
14985,you already submitted
14986,well release an excel sheet later on this week
14987,we still giving out some
14988,i win the giveway collab with space runners
14989,you won wl you already filled it
14991,wdym
14992,it is not guaranteed those who filled the form entered a raffle
14995,stunning artwork  would be proud to display on my walls and my wallet     
14996,gn fam  
14997,hey
14998,i also filled out the form but i havent been given the roles yet
14999,good morning
15000,test
15001,whats good
15002,gm bud
15003,gm
15004,didnt even know lol
15005,oh sweet
15008,ok
15009,yes
15010,did i get wl
15011,collabs form
15012,what form bro
15013,what form bro
15014,filled two forms already lol
15015,hlo
15016,gm
15020,sup
15022,you already did in the dyno form  
15023,already have it 
15024,how can i submit ze wallet
15025,perfect
15026,gm
15027,exactly later on this week well release an excel sheet so you can check which wallet you submitted and if the address is correct
15028,hey
15031,we do not need to submit our wallet anywhere correct assuming the dyno form was sufficient now just wait for mint date  
15032,gm
15034,gm
15035,shortly after you should receive the guru master role
15036,its easy ill guide you with that go on matrica click on your bohemian guru master nft and then click on refresh
15037,yeahh ik im too late for that too  
15038,ayo how do i get my guru master role
15040,woopwoop
15041,nothing certain but sticking around wont hurt i guess eheh
15042,sup sup woop woop
15043,gm
15044,welcome everyone
15045,ohh i loves surprises btw im sticking too it  thanks
15046,gm
15048,gm
15049,elo
15050,not many chances at this point we had raffles collabs with others daosome are still being sorted out holding a guru master or hold an og bohemian to have a chance to win a talisman also stick around on our twitter and announcements we might still have something coming who knows
15052,gm
15053,how do i gets wl  for fobulosa   
15054,yo
15055,hello fam gm
15056,gm
15058,hey how u doing
15059,its the role for those that won a raffle from another dao
15060,hey guys
15061,lets gooo
15062,gm
15064,how to get that talisman ji
15065,hi
15066,gm
15067,gm everyone
15068,gm
15069,hi
15071,woopwoop
15074,gv
15075,letsgo
15076,gm
15077,sup
15080,where to submit wallet
15081,yo
15082,hi
15083,yo
15084,okay sounds good
15086,gm
15087,gm
15088,sup fam
15089,sup
15090,yo
15091,gm
15092,hey d
15093,hi
15094,gm
15097,woopwoop
15098,bohemiaaaaaaa
15099,gm
15100,we are going to random airdrop some talisman to staked bohos that are not guru masters but no not guaranteed only guru guaranteed
15101,lfg
15102,gm
15103,sup fam
15104,so are bohos who are not guru masters getting wl considering there are not  guru masters
15105, pls accept my request
15106,so is there  guru masters out there
15107,if you won roles will be given soon
15109,gm
15110,evening everyone
15111,sup fam
15112,yeah tiger
15113,where did you win one 
15114,sup fam
15116,wassup guys
15117,gm
15119,why didn t i get my wl
15120,tired   but doing okay  
15121,hey
15122,how is your day
15123,heyyy
15124,woopwoop
15125,gm fam
15126,hey
15127,woop woop
15128,yes sir i cant wait for that 
15129,gm
15130,watchu studying
15131,hello
15132,about to have a lecture tired already
15133,no worries fam thanks
15134,thank you for the update brother
15136,im doing good fam just had my dinner and u
15137,yes some are still being worked out wl winners should get it before the end of the week   goodluck
15138,hihi
15139,woop woop
15141,how re you today
15142,hellooo
15143,thats good to hear
15144,oh so its not finalized yet then
15145,hello guys
15146,indeed
15147,we are in the middle of assigning roles from recent collabs right now wl winners will get their roles here
15148,fabulosa are true art
15149,motd dao  sticky monkes
15150,think yesterday
15151,when was the form given in your server
15152,token based  
15153,brother could you help me out real quick there was a fcfs wl spots where we had to submit our discord and wallets does me not getting a wl role mean i did not make it or the roles will not be given anyways but wallets will be submitted instead
15154,is this token based or wallet based 
15155,whats up fam
15156,as far as i know were close as of the moment as mint is nearing we are finishing some of the collabs we did with other projects
15157,sup
15158,are you guys still connecting with projects i can try to someone from neo tokyo outreach team to get in touch
15159,woop woop
15160,gm  
15161,we did not have neo tokyo only neo hunters
15162,gm
15163,i cant wait as well  
15164,let me check  
15165,cant wait for mint day
15166,hello guys
15167,gm
15168,gm
15169,me too brother
15170,has anyone from neo tokyo approached you guys about a collab
15171,check  and scroll through  theres some posts over there that can help you with wl chances
15172,ty
15173,love this art
15174,i entered a talisman raffle in the hyhu network server really hoping i win how do i find other chances to win seek out collab partners
15175,gm everyone ribbit   
15176,lots of good art over there for sure
15177,welcome everyone
15178,hii
15179,the imaginarium is a fun time
15180,hi
15181,hi there
15182,hello guys
15183,hi
15184,goodluck fam
15185,art in this project is beyond praying hard for a talisman
15186,fabulosa    and  here
15187,welcome everyone
15188,hello guys
15189,hy
15190,welcome all to bohemia
15191,p
15192,no wl giveaway
15193,hi
15194,is is too late for wl
15195,new   collection is ready  
15196,man i want this art so bad i am not gonna rent it or stake it lol
15197,yassss  
15198,yo
15199,yes
15200,good night everyone hope yall have a good rest
15201,is the mint date  july
15202,gm
15203,sup
15204,heyya
15205,yo
15206,yo fam
15207,hi fam    
15208,gm
15209,hello
15210,hii
15211,hi everyone
15212,i get now is there any utilities attached to fabulosa
15213,sup
15214,woopwoop
15215,hey
15216,welcome everyone
15217,hi
15218,yo yo
15220,howru
15221,sup guys
15222,hi
15223,sup
15224,gm fam
15225,yo
15226,hows going
15227,hi
15228,gm
15229,nope thats a different thing
15230,gm
15231,welcome guys check   for fabulosa
15232,hi
15233,yooooo
15234,gm
15235,whats up fam
15236,hellooo
15237,sup
15238,hi
15239,ooh so it has nothing to do with fabulosa
15240,hello
15242,hi
15243,big bang is not out yet for that you will need a bohemia and transportari      wich been airdroped to holders
15244,wow nice
15245,saw the announcement just now whivh one is the big bang nft i don t understand the concepts
15246,to stake it no but you will be able to rent it
15247,are we going to b able to stake fabulosa
15248,gm
15249,gm
15251,whitelist for fabulosa
15252,hey
15253,yoo
15254,hi
15255,hi
15256,  from link
15257,it can be for mint fabulousa nft
15258,its for the animal 
15259,its mean later there will be an airdrop in the form of talisman token  wl token
15260,gm
15261,guys what does talisman master means 
15262,hi
15263,yes if you filled out the form then youll get airdropped a talisman the role will remain for us to remember that you already got it once
15264,fam
15265,gm f
15266,sup
15267,yh    
15268,hello guys
15269,heya
15270,like does my blue talisman  role stay the same now i ve filled out the dyno form
15271,yo
15272,try to keep up once you get it going best to just keep at it bit by bit else you d just slack off easily sure you know that  
15274,gm bohos       
15275,   so you still workout good to hear 
15276,httpsnotboredapestriptychlabsio
15277,else you get sluggish
15278,yo
15279,yo bro whats up
15280,need to get moving  
15281,that s good all good here actually heading off to sweat it out
15282,hbu 
15284,im good 
15285,how s wednesday going for you
15286,what do you mean by update
15287,wassup  
15288,when will my talisman  role update
15289,all done thankyou for pointing that out otherwise i would have missed it so the talisman airdrop is basically a mint pass do we pay mint also
15290,gm fam
15291,yoooo broo
15292,heyyyy
15293,gm fam
15294,hello
15295,welcome everyone
15296,check 
15297,so i won wl from degods raffle store do i need to enter my wallet anywhere
15298,hi
15299,hello
15300,gm fam
15301,gm
15302,hey guys
15303,welcome everyone
15304,hi
15305,gates
15306,hi   
15307,sup guys
15308,woop
15311,gm
15312,hi here
15313,hi
15315,hello
15316,done  
15317,hey gang after ive filled out the form is it just a waiting game 
15318,gm fam
15319, provide some proof pls so we can act upon it  
15320,woop
15321,sup
15322,kickass 
15323,check out our latest announcements  
15324,welcome all to bohemia
15325,we be waiting fam  
15326,gm
15327,wagli
15328,good morning
15329,gm
15330, are you trying to scam me bro   writing me about selling through swapsol
15331,hello
15332,hey  
15333,hello
15334,hi
15335,have a nice week fam excited for fabulosa art is on fire
15337,goodluck   we will be seeing u soon  
15338,gm im a minter of fabulosa they will be perfect in a gallery cant wait  i love the projegt and want to pick up a bohemia when i have liquid  know you know  
15339,there will be no worries  
15340,sending message  times  
15341,ok bro my network sucking
15342,okay thanks i hope we get the chance to confirm our wallet before mint
15343,hi
15344,we already got it through the form you filled up in yourserver
15345,where do i submit wallet
15346,gm everyone
15347,what incident
15348,it s from jelly rascals bud
15349,whats that in your pfp  some kind of nft or art 
15350,good morning
15351,check out   and   for fabulosa  
15352,gm everybody
15353,welcome to bohemia
15354,greetings from el cafe cartel
15356,av
15357,my pfp jelly rascal
15358,whats that in your pfp  some kind of nft or art 
15359,yo bro
15360,yoo
15361,hehe
15362,must be your pfp green for go  so you are chosen  
15363,gm
15364,np
15365,soo happy now
15366,bru finally max saw and liked my memes  
15367,thank you bros
15368,teest
15370,good morning fam 
15371,you can almost there  congrats
15372,hi guys good morning
15373,     
15374,oh he tagged you to answer didnt sow it bro  
15375,you are eligible to claim your wl congrats bud  
15376, got you  
15378,bro whats chosen one role means 
15381,for sure that latest announcement looks insane can t wait to those  avatars  
15382,yes
15383,bohemians build
15384,new members check  
15385,hello
15386,im doing good
15387,good bro  wby
15388, wassssup mate
15389,hii
15390,hello
15391,welcome here
15392,need any info  check     for fabulosa
15393,welcome all to bohemia
15394,glad to be here
15396,when will the winners of the giveaway from pengsol be announced 
15397,wby
15398,today i am feeling good  after that incident
15399,yo
15400,how are u
15401,hey how are you sir  
15402,hey there  
15403,hello sir
15404,good morning sir
15405,good morning everyone welcome   check out  and   for fabulosa info  
15406,good morning
15407,h
15408,gm
15409,gm
15410,yo fam
15412,gm
15414,      
15415,hii from pilgrims
15416,yoyo
15417,gm fam
15419,gm
15420,doing fine hbu
15421,sup
15422,hi
15423,how are you all
15425,hi
15426,welcome everyone
15427,gm
15428,yo
15429,afternoon here
